Topic 1 words,Topic 1 weights,Topic 1 words,Topic 1 weights
room,28662.9,room,3410.7
staff,11919.2,staff,762.8
location,8225.3,service,724.5
service,6651.3,food,516.8
restaurant,6395.6,place,474.2
breakfast,6217.9,people,416.5
place,5914.8,stay,399.5
food,5858.3,resort,378.4
stay,5020.5,problem,362.1
beach,4991.7,desk,342.5
area,4873.6,bathroom,329.8
resort,4670.9,water,321.0
pool,4546.9,breakfast,310.8
bar,4409.5,floor,307.7
view,4123.8,hour,292.2
people,4085.4,experience,291.1
trip,3761.4,bed,287.8
bathroom,3556.5,restaurant,271.6
floor,3357.2,pool,268.7
minute,3320.6,beach,267.3
